"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1777202973590094057","Mon Apr 08 05:13:02 +0000 2024","0","jirrr emina liptin doang 45 untung di bayarin bokap","1777202973590094057","","","in","rant, dnf, dnss ","0","0","0","https://twitter.com/celektif/status/1777202973590094057","1725491626112688128","celektif"
"1777010950857777361","Mon Apr 08 05:00:31 +0000 2024","0","@discountfess Mau dong golden tick buat emina glossy stain yg ada shade rainy hazelrosenya","1777199823802007755","","discountfess","in","Taiwan","0","1","0","https://twitter.com/pacartono/status/1777199823802007755","1208968497830588416","pacartono"
"1777190760133378313","Mon Apr 08 04:55:39 +0000 2024","0","@duhapaansi aku juga pake emina hydraburst emg bagus bgt pls!! ","1777198599241335053","","duhapaansi","in","beauty, outfits and books.","0","0","0","https://twitter.com/favobites/status/1777198599241335053","2277362636","favobites"
"1777189325563895973","Mon Apr 08 04:51:21 +0000 2024","0","@ddeyoongie Emina klo aku~","1777197515701645343","","ddeyoongie","in","—2013 ARMY —2020 ENGENE♡OT14","0","0","0","https://twitter.com/runwithsunooo/status/1777197515701645343","1489506594866237440","runwithsunooo"
"1777180502262452566","Mon Apr 08 04:19:34 +0000 2024","0","@journeywithApr Blm pernah coba emina","1777189517386293531","","journeywithApr","in","","0","0","0","https://twitter.com/Alizaahadi/status/1777189517386293531","1757903833651638272","Alizaahadi"
"1777189325563895973","Mon Apr 08 04:18:48 +0000 2024","0","Mending liptint azarine atau emina","1777189325563895973","","","in","future's gonna be fucking okay","0","2","0","https://twitter.com/ddeyoongie/status/1777189325563895973","1218101082980675584","ddeyoongie"
"1777152127649153402","Mon Apr 08 03:56:20 +0000 2024","0","@nanethgabriel @j_pjmexquisite Madame gie tuh ya kalau habis wudhu perih bgt kek wardah emina malah pas apply udah perih yg enak bgt tuh ada gua lupa pokoknga merk jpn tapi malah bgt anjir seuprit 150","1777183671843434621","","nanethgabriel","in","","0","1","0","https://twitter.com/justtania13/status/1777183671843434621","1546788764387000321","justtania13"
"1776989460435202305","Mon Apr 08 03:53:37 +0000 2024","0","@megwumiw @literarybase Mjb Emina yg di jsp bukan? ","1777182987718910193","","megwumiw","in","Love Me Again","0","1","0","https://twitter.com/menjadimiauw/status/1777182987718910193","1265944578021974016","menjadimiauw"
"1776979509620973947","Mon Apr 08 03:46:05 +0000 2024","0","@ohmybeautybank Emina! Liptint dari jaman sma sampe skrg masih jatuh cinta https://t.co/il53vHPANJ","1777181091767673110","https://pbs.twimg.com/media/GKnQx-JaMAAxZde.jpg","ohmybeautybank","in","","0","0","0","https://twitter.com/Pocahontaz1997/status/1777181091767673110","1642467693453541376","Pocahontaz1997"
"1776979509620973947","Mon Apr 08 03:44:19 +0000 2024","0","@ohmybeautybank Untuk perliptintan lg suka emina dan feyrely! Emina. Feyrely. https://t.co/gda831FapZ","1777180646613619007","https://pbs.twimg.com/media/GKnQYBabYAAkPE6.jpg","ohmybeautybank","in","","0","0","0","https://twitter.com/Pocahontaz1997/status/1777180646613619007","1642467693453541376","Pocahontaz1997"
"1777162019197825223","Mon Apr 08 03:37:51 +0000 2024","0","@taruNTaRock Passes ela tiskovali bro. Neeku emina telusa...","1777179021891309590","","taruNTaRock","in","","0","1","0","https://twitter.com/Tharun_2505/status/1777179021891309590","1513124485473669123","Tharun_2505"
"1777169588909936990","Mon Apr 08 03:00:22 +0000 2024","6","Videos emina leak ayyaya. Maku share chesthe break istham https://t.co/pHhnq3cLDY","1777169588909936990","https://pbs.twimg.com/tweet_video_thumb/GKnGUTuWsAEw1nS.jpg","","in","BHARAT 🇮🇳","0","2","0","https://twitter.com/Mee_Rudra/status/1777169588909936990","964494988074627072","Mee_Rudra"
"1777165362146021840","Mon Apr 08 02:43:35 +0000 2024","0","Bayata meetings emina pedtada sunstroke tagalataniki","1777165362146021840","","","in","Ekadooo","1","0","0","https://twitter.com/viratian_life/status/1777165362146021840","1094283672054890496","viratian_life"
"1776896656409305404","Mon Apr 08 02:38:44 +0000 2024","0","@julysautumn @tanyarlfes gak sih sebenernya walaupun udah tua juga suka yg lucu2 tapi fungsional. misal yg spotify. dibikin lucu gpp asalkan tetep shape nya spotify gitu cuma warna sama ada hiasan2 nya. gak yg spotify ujuk2 jadi bola Instagram jadi kelinci ig tetep gambar kamera yg lucu juga bagus.","1777164142778126792","","julysautumn","in","","0","0","0","https://twitter.com/EminaTheCat/status/1777164142778126792","1413755091471921162","EminaTheCat"
