"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787461054005682241","Tue May 07 06:53:15 +0000 2024","0","@5teV3n_Pe9eL Alhamdulillah orang sudha tidak malu lagi dukung palestina. Yg dukung palestina selain pinter berwawasan cantik2 n ganteng2 pula. Free palestina.","1787737441568444915","","5teV3n_Pe9eL","in","","0","0","0","https://twitter.com/isgalonjebol/status/1787737441568444915","1735491668324098048","isgalonjebol"
"1787737270143136134","Tue May 07 06:52:34 +0000 2024","0","UNISA Yogyakarta Gelar Aksi Damai Bela Palestina https://t.co/H6u1HiNPGq #beritajogja #jogja #jogjaistimewa https://t.co/ABaSlqSUD3","1787737270143136134","https://pbs.twimg.com/media/GM9Rkuza8AAagaV.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://twitter.com/Harian_Jogja/status/1787737270143136134","118371948","Harian_Jogja"
"1787737149590413749","Tue May 07 06:52:05 +0000 2024","0","Hamas Minta JK Bantu Mediasi dengan Israel Setop Agresi di Palestina https://t.co/OjF7sA8x0S","1787737149590413749","","","in","","0","0","0","https://twitter.com/CNNIndonesia/status/1787737149590413749","17128975","CNNIndonesia"
"1787687110797128058","Tue May 07 06:52:04 +0000 2024","0","@dina_sulaeman Ya Allah berikan kesabaran dan ketabahan Iman kpd sodara² kami di Rafah Gaza Palestina. Ya Robb tolonglah mereka dari kejahatan kaum zalim ","1787737146050408939","","dina_sulaeman","in","","0","0","0","https://twitter.com/Otnatu5/status/1787737146050408939","1717141298480828416","Otnatu5"
"1787688962254905365","Tue May 07 06:50:38 +0000 2024","0","@erlanishere Angka tepatnya 860 orang kecuali anda mau menyatakan korban IDF dan Polisi setara dengan warga sipil Maka kita bisa anggap semua Milisi Palestina yang tewas juga korban genosida.","1787736783406739831","","erlanishere","in","","0","0","0","https://twitter.com/MRA1207/status/1787736783406739831","1429841478038269954","MRA1207"
"1787654457339342932","Tue May 07 06:50:37 +0000 2024","0","@elonmusk tapi argentina mendukung israel pelaku genosida di palestina.. biarin aja bangkrut lah..","1787736780030230734","","elonmusk","in","Jakarta","0","0","0","https://twitter.com/masekoID/status/1787736780030230734","50983948","masekoID"
"1787736652577984781","Tue May 07 06:50:07 +0000 2024","0","Gelar Aksi Bela Palestina Rektor UMS: Ini Soal Kemanusiaan https://t.co/kCwgvpngMl https://t.co/W1KFR6nJgJ","1787736652577984781","https://pbs.twimg.com/media/GM9RAy5bgAAGs8b.jpg","","in","Solo, Central Java, Indonesia","0","0","0","https://twitter.com/soloposdotcom/status/1787736652577984781","155169715","soloposdotcom"
"1787736619707146527","Tue May 07 06:49:59 +0000 2024","0","Presiden Mesir Abdel-Fattah Al-Sisi mendesak Israel dan kelompok pejuang Palestina Hamas untuk menyepakati perjanjian gencatan senjata di Jalur Gaza. https://t.co/inr6QoOu9x","1787736619707146527","","","in","NKRI","0","0","0","https://twitter.com/antaranews/status/1787736619707146527","18071520","antaranews"
"1787661857026920807","Tue May 07 06:49:33 +0000 2024","0","@Valhallaah Zionis babi sialan semoga di beri hidayah dah biar malu lo sama tweetan lo ini sekaligus sama rakyat palestina","1787736513062805589","","Valhallaah","in","","0","0","0","https://twitter.com/kalaelc/status/1787736513062805589","1690526514482458624","kalaelc"
"1787736450328678554","Tue May 07 06:49:18 +0000 2024","0","Di Universitas Muhammadiyah Yogyakarta bendera Palestina berukuran besar membentang di Gedung Rektorat menandakan solidaritas terhadap perjuangan rakyat Palestina. https://t.co/tA6JB2gbE7","1787736450328678554","","","in","Yogyakarta","0","0","0","https://twitter.com/majalahSM/status/1787736450328678554","836611718","majalahSM"
