conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,tweet_english
1777202973590094057,Mon Apr 08 05:13:02 +0000 2024,0,jirrr emina liptin doang 45 untung bayarin bokap,1777202973590094057,,,in,"rant, dnf, dnss ",0,0,0,https://twitter.com/celektif/status/1777202973590094057,1725491626112688128,celektif,Jirrr Emina Liptin only 45 Untung Paying Bokapin
1777010950857777361,Mon Apr 08 05:00:31 +0000 2024,0,dong golden tick emina glossy stain ada shade rainy hazelrosenya,1777199823802007755,,discountfess,in,Taiwan,0,1,0,https://twitter.com/pacartono/status/1777199823802007755,1208968497830588416,pacartono,Dong Golden Tick Emina Glossy STAIN There is a Rainy Hazelrosy shade
1777190760133378313,Mon Apr 08 04:55:39 +0000 2024,0,juga pake emina hydraburst emang bagus banget pls,1777198599241335053,,duhapaansi,in,"beauty, outfits and books.",0,0,0,https://twitter.com/favobites/status/1777198599241335053,2277362636,favobites,Also using Emina Hydraburst is really good PLS
1777189325563895973,Mon Apr 08 04:51:21 +0000 2024,0,emina klo,1777197515701645343,,ddeyoongie,in,—2013 ARMY —2020 ENGENE♡OT14,0,0,0,https://twitter.com/runwithsunooo/status/1777197515701645343,1489506594866237440,runwithsunooo,Emina
1777180502262452566,Mon Apr 08 04:19:34 +0000 2024,0,pernah coba emina,1777189517386293531,,journeywithApr,in,,0,0,0,https://twitter.com/Alizaahadi/status/1777189517386293531,1757903833651638272,Alizaahadi,Ever tried Emina
1777189325563895973,Mon Apr 08 04:18:48 +0000 2024,0,mending liptint azarine emina,1777189325563895973,,,in,future's gonna be fucking okay,0,2,0,https://twitter.com/ddeyoongie/status/1777189325563895973,1218101082980675584,ddeyoongie,Better Liptint Azarine Emina
1777152127649153402,Mon Apr 08 03:56:20 +0000 2024,0,madame gie tuh kalau habis wudhu perih banget kek wardah emina pas apply udah perih enak banget tuh gua lupa pokoknga merk jpn malah banget anjir seuprit 150,1777183671843434621,,nanethgabriel,in,,0,1,0,https://twitter.com/justtania13/status/1777183671843434621,1546788764387000321,justtania13,"Madame Gie, if you run out of ablution, it hurts so much that Emina's wardah when applying, it's really good, I forgot the JPN brand, I really really know 150"
1776989460435202305,Mon Apr 08 03:53:37 +0000 2024,0,mjb emina di jsp,1777182987718910193,,megwumiw,in,Love Me Again,0,1,0,https://twitter.com/menjadimiauw/status/1777182987718910193,1265944578021974016,menjadimiauw,MJB Emina in JSP
1776979509620973947,Mon Apr 08 03:46:05 +0000 2024,0,emina liptint jaman sma sampe masih jatuh cinta,1777181091767673110,https://pbs.twimg.com/media/GKnQx-JaMAAxZde.jpg,ohmybeautybank,in,,0,0,0,https://twitter.com/Pocahontaz1997/status/1777181091767673110,1642467693453541376,Pocahontaz1997,Emina Liptint in high school until still falling in love
1776979509620973947,Mon Apr 08 03:44:19 +0000 2024,0,perliptintan suka emina feyrely emina feyrely,1777180646613619007,https://pbs.twimg.com/media/GKnQYBabYAAkPE6.jpg,ohmybeautybank,in,,0,0,0,https://twitter.com/Pocahontaz1997/status/1777180646613619007,1642467693453541376,Pocahontaz1997,Perliptikan likes Emina Feyrely Emina Feyrely
1777162019197825223,Mon Apr 08 03:37:51 +0000 2024,0,passes ela tiskovali bro neeku emina telusa,1777179021891309590,,taruNTaRock,in,,0,1,0,https://twitter.com/Tharun_2505/status/1777179021891309590,1513124485473669123,Tharun_2505,Passes Ela Tiskoval Bro Neku Emina Telusa
1777169588909936990,Mon Apr 08 03:00:22 +0000 2024,6,videos emina leak ayyaya maku share chesthe break istham,1777169588909936990,https://pbs.twimg.com/tweet_video_thumb/GKnGUTuWsAEw1nS.jpg,,in,BHARAT 🇮🇳,0,2,0,https://twitter.com/Mee_Rudra/status/1777169588909936990,964494988074627072,Mee_Rudra,Videos Emina Leak Ayyay Naku Share Chesthe Break Ishtam
1777165362146021840,Mon Apr 08 02:43:35 +0000 2024,0,bayata meetings emina pedtada sunstroke tagalataniki,1777165362146021840,,,in,Ekadooo,1,0,0,https://twitter.com/viratian_life/status/1777165362146021840,1094283672054890496,viratian_life,Bayata Meetings Emina Pedtada Sunstroke Tagsaniki
1776896656409305404,Mon Apr 08 02:38:44 +0000 2024,0,gak sih sebenernya udah tua suka lucu2 fungsional spotify bikin lucu gpp tetep shape nya spotify gitu warna ada hiasan2 nya gak spotify ujuk2 bola instagram kelinci ig tetep gambar kamera yang lucu bagus,1777164142778126792,,julysautumn,in,,0,0,0,https://twitter.com/EminaTheCat/status/1777164142778126792,1413755091471921162,EminaTheCat,"It's not actually old, it's already old, Spotify funny, making it funny, but the shape is spotify, so the color is not a decoration"
1777162849967862076,Mon Apr 08 02:33:36 +0000 2024,0,cocok emina,1777162849967862076,,,in,,0,0,0,https://twitter.com/altafrgy/status/1777162849967862076,1362610461267554308,altafrgy,Suitable Emina
1776978536223703183,Mon Apr 08 01:10:38 +0000 2024,0,emina lip balm wkwkwk,1777141971137818894,https://pbs.twimg.com/media/GKms6graMAA_Jnw.jpg,convomf,in,ur timeline,0,0,0,https://twitter.com/imlcathrn/status/1777141971137818894,1183192636401709056,imlcathrn,Emina Lip Balm Wkwkwk
1776997821532750042,Mon Apr 08 00:13:51 +0000 2024,0,emina bs yaa,1777127682763018493,,leopatrd,in,musèed♤,0,1,0,https://twitter.com/arinscity/status/1777127682763018493,1280061213523623936,arinscity,Emina BS
1777123260242813369,Sun Apr 07 23:56:17 +0000 2024,0,emina produk bagus gin warna doong,1777123260242813369,https://pbs.twimg.com/media/GKmcLl_bMAAF79H.jpg,,in,,0,0,0,https://twitter.com/notforent/status/1777123260242813369,1088403169871159296,notforent,Emina Good Gin Color product doong
1777104125349769676,Sun Apr 07 22:40:15 +0000 2024,0,udahlah mau beli emina glossy stain aja,1777104125349769676,,,in,,0,0,0,https://twitter.com/giyyew/status/1777104125349769676,1569938538225082368,giyyew,Already want to buy Emina Glossy Stain
1777076745856053677,Sun Apr 07 22:27:30 +0000 2024,0,fw emina bright stuff for acne porne ss skinaqua tutup tosca moist cerave sekarang gak pake bcs udah abis bingung beli,1777100919563538581,,ohmybeautybank,in,,0,0,0,https://twitter.com/desocian/status/1777100919563538581,1559871930064601088,desocian,FW Emina Bright Stuff for Acne Prone Skin Aqua CLOSE TOSCA MOIST CRAVE Now I don't use BCS already after being confused
1777079458387960235,Sun Apr 07 21:42:09 +0000 2024,0,lip scrub emina abis taun lip balm buttered spf 15nya,1777089506233176488,https://pbs.twimg.com/media/GKl9fQFbkAAJY6s.jpg,ohmybeautybank,in,Khayangan,0,0,0,https://twitter.com/mbaditaaa/status/1777089506233176488,1346080130,mbaditaaa,lip scrub emina after the taun lip balm butted spf 15
1777088495011705253,Sun Apr 07 21:38:08 +0000 2024,0,aseli muka gue kaya tolak banget produk emina knp yh,1777088495011705253,,,in,,0,0,0,https://twitter.com/apinbukankucing/status/1777088495011705253,1298452945336295426,apinbukankucing,"Aseli face, my face is very like the product of Emina KNP yh"
1776590997876519298,Sun Apr 07 20:13:41 +0000 2024,0,fking ignorant,1777067243181838685,,emina_c,in,"Dakota del Norte, USA",0,0,0,https://twitter.com/AlexxAIdresser/status/1777067243181838685,1759356252142931969,AlexxAIdresser,FKING IGNORANT
1776978536223703183,Sun Apr 07 19:44:00 +0000 2024,0,liptint emina glossy stain enak manis,1777059771117641913,,convomf,in,,0,0,0,https://twitter.com/jamalsupremacy_/status/1777059771117641913,1379092655880105987,jamalsupremacy_,liptint emina glossy stain delicious sweet
1776991404356784309,Sun Apr 07 19:39:04 +0000 2024,1,unduru gangavaram kotipalli thalapalam thamarapalii yarapothavaram inka emina kavala ra puka chpu,1777058529205260309,,prasannacherry,in,twitter ,0,0,0,https://twitter.com/AjayTentac40170/status/1777058529205260309,1650216510294740992,AjayTentac40170,Unduru Gangavaram Kotipalli Thalapalam Tharapalii Yarapothavaram Inka Emina Kavala RA Puka Chpu
1777057275116749034,Sun Apr 07 19:34:05 +0000 2024,0,master garu eppatinuncho waiting edho teaser vodhlutharu annaru ugadi ki emina chance untey oka post padeyandi swami,1777057275116749034,,MegaSuryaProd,in,"Andhra Pradesh, India",0,0,0,https://twitter.com/reddyvamsi61/status/1777057275116749034,892790449978482688,reddyvamsi61,Master Garu Eppatinunch Waiting Edho Teaser Vodhlutharu Annaru Ugadi Ki Emina Chance Untey Oka Post Padeyandi Swami
1777045351528095895,Sun Apr 07 18:46:42 +0000 2024,4,adhi ra maa ante emina ante ambani ani langalu lepkoni tho vastaru thanks for everything,1777045351528095895,,,in,Bengaluru,0,0,2,https://twitter.com/Vayu_18/status/1777045351528095895,802248337814593536,Vayu_18,Adhi RA Maa Ante Emina Ante Ambani Ani Langalu Lepkoni Tho Vastaru Thanks for Everything
1777044342294904924,Sun Apr 07 18:42:41 +0000 2024,0,rekomendasiin sunscreen spf 35 serta linknya azarine the originote emina wardah biore bioaqua,1777044342294904924,https://pbs.twimg.com/ext_tw_video_thumb/1777044280303026176/pu/img/6uqV4jBwi-6JPuf5.jpg,,in,,0,1,0,https://twitter.com/noyiw97/status/1777044342294904924,1716708071270232064,noyiw97,Recommendation Sunscreen SPF 35 and the link is Azarine the originote Emina Wardah Biore Bioaqua
1777044074668957967,Sun Apr 07 18:41:37 +0000 2024,1,families ki nachutundi antunnaru entra mu emina orphans ha ra idem rotta marketing ra,1777044074668957967,,,in,,0,0,0,https://twitter.com/nih__8/status/1777044074668957967,1726187449402159104,nih__8,Families Ki Nachutundi Antunnaru Entra Mu Emina Orphans Ha Ra Idem Rotta Marketing RA
1776958620883935453,Sun Apr 07 18:18:24 +0000 2024,0,avi emina puku lo aathula bro,1777038231747674218,,jsvasu,in,,0,1,0,https://twitter.com/Naiduganty17838/status/1777038231747674218,1759279552608780288,Naiduganty17838,Avi Emina Puku Lo Aathula bro
1777030653311418583,Sun Apr 07 17:48:18 +0000 2024,0,repliesnya bilang emina hanasui gue akuin emang manis apa iya ngestain not cipok related tp di gue cepet ambyar,1777030653311418583,,,in,minor & homophobic dnf.,0,0,0,https://twitter.com/athlaentic/status/1777030653311418583,1740174498283008000,athlaentic,"The replies say that Emina Hanasui I admit that it is sweet, yes, right?"
1777029612910071986,Sun Apr 07 17:44:09 +0000 2024,1,aina 164 defend cheyakunda undadaniki mu emina rcb anukunnarentra,1777029612910071986,https://pbs.twimg.com/media/GKlHBAnbEAAngHE.jpg,,in,,0,0,1,https://twitter.com/klrahulbanisa/status/1777029612910071986,1405828203600498699,klrahulbanisa,AINA 164 Defend Cheyakunda Undadaniki Mu Emina RCB Anukunnarentra
1777029297259368904,Sun Apr 07 17:42:54 +0000 2024,20,konni days nunchi edo thedaga undhi body lo emina ayithadii emo bayam dengutundi,1777029297259368904,https://pbs.twimg.com/ext_tw_video_thumb/1775815108481916928/pu/img/gxY5olbtEMMbhVXT.jpg,,in,palanadu 🦁,1,5,2,https://twitter.com/animeReddy12/status/1777029297259368904,1600470622974357504,animeReddy12,Konni Days Nunchi Edo Thedaga Undhi Body Lo Emina Ayithadii Emo Dinas Dengutundundi
